alim_nom_fr;Energie, Règlement UE N° 1169/2011 (kJ/100 g);Energie, Règlement UE N° 1169/2011 (kcal/100 g);Protéines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Glucose (g/100 g);Alcool (g/100 g)
Crumble aux pommes;-;-;2,19;33,8;9,5;19;3,66;0
Tarte aux abricots;-;-;3,18;41;10,7;17,4;6,54;0
Tarte aux fruits rouges;-;-;3,5;38,5;6,87;20,9;5;0
Tarte Tatin aux pommes;-;-;2,31;37,1;9,3;24,9;5,5;0
Tarte au chocolat, fabrication artisanale;-;-;5,94;40,9;30,7;22,7;1,8;0
Tarte ou tartelette aux fruits;-;-;3,72;46,9;10,6;24,6;6,32;0
Flan pâtissier aux oeufs ou à la parisienne;-;-;3,69;29,2;11,3;18,4;0,12;0
Charlotte aux fruits;-;-;5,16;28,2;6,64;21,7;10,2;0,1
Gâteau au chocolat;-;-;5,74;54,6;21,6;32,2;1,71;0
Gâteau moelleux au chocolat, préemballé;-;-;6,19;48,2;24;33,4;0,72;0
Gâteau au yaourt;-;-;5,87;51,8;21,4;26,9;-;0
Gâteau au fromage blanc;-;-;6,17;27;11,6;19,5;3,21;0
Gâteau moelleux nature type génoise;-;-;5,7;57,6;14,4;27,1;-;0
Galette des rois feuilletée;-;-;5;29,8;23,3;9,9;-;0
Galette des rois feuilletée, fourrée frangipane, et Pithiviers;-;-;7,6;33,4;30;15,6;0,5;0
Crêpe, nature, préemballée, rayon frais;-;-;6,49;40;7,21;19,1;0,7;0
Crêpe, nature, préemballée, rayon température ambiante;-;-;8,5;58,1;14,1;28,1;2,83;0
Galette de sarrasin, nature, préemballée;-;-;5,95;30,1;1,51;1,08;< 0,3;0
Gâteau basque, crème pâtissière;-;-;4,03;57,4;13,3;28,1;3,6;0
Gâteau basque, cerises;-;-;4,3;63,3;13,5;42;-;0
Crêpe fourrée au sucre, préemballée;-;-;6,62;58,7;15,8;31;-;0
Crêpe fourrée à la confiture, maison;-;-;6,51;54;5,74;19,4;-;0
Crêpe fourrée au chocolat ou à la pâte à tartiner chocolat et noisettes, maison;-;-;8,1;54,3;14,6;20,4;-;0
Crêpe fourrée chocolat, préemballée;-;-;6,43;58,7;20,4;38,2;< 0,2;0
Crêpe fourrée fraise, préemballée;-;-;5,35;66,7;6,6;30,8;-;0
Gaufre fine fourrée au miel, préemballée;1910;455;4,56;67;18,3;37;10,5;0
Gaufre bruxelloise ou liégeoise, préparation artisanale;-;-;8;36,1;13,4;4,8;0,3;0
Gaufre moelleuse (type bruxelloise ou liégeoise), nature ou sucrée, préemballée;-;-;7,1;52,5;25,2;32;-;0
Gaufre moelleuse (type bruxelloise ou liégeoise), chocolatée, préemballée;-;-;6,1;55,9;23,9;29,4;-;0
Gaufre croustillante (fine ou sèche), nature ou sucrée, préemballée;-;-;5,18;66,4;17,9;37,6;6,5;0
Gaufre croustillante (fine ou sèche), chocolatée, préemballée;-;-;6,9;70;16;39;-;0
Beignet rond moelleux, sans fourrage, saupoudré de sucre;1690;404;7,25;39,4;23,7;10,7;2,38;0
Beignet à la confiture;1580;378;6,36;45,6;18,7;19,9;3,6;0
Beignet fourré aux fruits, préemballé;1520;362;5,65;47,6;16;14,5;-;0
Beignet fourré goût chocolat, préemballé;1760;420;7,31;45,9;22,5;18,6;1,59;0
Pâtisserie (aliment moyen);;;5,03;44;17,2;27,5;3,17;0,033
Cake aux fruits, préemballé;1510;360;4,19;55,2;12,6;35,8;10,7;1,21
Gâteau marbré, prémballé;-;-;5,76;50,5;23;27,9;0,4;0,1
Gâteau sablé aux fruits, préemballé;-;-;5,13;63,9;16,3;39;-;0
Gâteau moelleux aux fruits, prémballé;-;-;4,61;61,6;14,8;34,2;9,78;0
Gâteau moelleux aux fruits à coque, prémballé;-;-;6,2;48,8;25,5;34,7;0,64;0
Gâteau moelleux fourré au chocolat ou aux pépites de chocolat ou au lait, prémballé;-;-;5,31;60,7;21,7;43,7;9,9;0
Génoise fourrée et nappée au chocolat, prémballé;-;-;5,46;53,3;20,8;35;2,65;0,65
Gâteau moelleux fourré aux fruits type mini-roulé ou mini-cake fourré, prémballé;-;-;4,41;64,2;6,5;43,9;2,5;0
Muffin, aux myrtilles ou au chocolat;-;-;5,59;48,9;23,4;27,9;< 0,2;0
Madeleine, pur beurre, préemballée;-;-;5,6;52,6;25,5;27,4;1,3;0
Madeleine au chocolat, préemballée;-;-;6,06;51,5;24,9;29;1,2;0
Madeleine ordinaire, préemballée;-;-;5,2;53,5;25,2;23,8;1,2;0
Tarte aux poires amandine;-;-;4,9;37,7;14,9;21,2;2,8;0
Gâteau aux amandes type financier;-;-;9,1;44,3;27,4;34,6;0,3;0
Gâteau aux amandes, préemballé;-;-;5,78;60,1;17,3;37,4;-;0
Mille-feuille;-;-;3,88;43,7;11,3;28,8;< 0,5;0
Glace à l'eau ou sorbet ou crème glacée, tout parfum (aliment moyen);;;2,66;32,2;12;25,3;2,08;0
Barre glacée chocolatée;1500;359;5,12;35,8;21,4;27,7;2,47;0
Glace ou crème glacée, bâtonnet, enrobé de chocolat;1370;328;3,35;33,4;19,8;27,9;1,2;0
Glace ou crème glacée, cône (taille standard);-;-;3,44;37,8;13,5;25,7;2,65;0
Glace ou crème glacée, en bac;-;-;2,5;26,1;8,4;21,9;1,18;0
Glace au yaourt;-;-;3,38;22,7;2,2;20,7;1,37;0
Glace ou crème glacée, gourmande, en bac;-;-;2,99;29;10,7;24,4;-;0
Glace ou crème glacée, gourmande, en pot;-;-;4,13;24,2;17,9;21,9;1,39;0
Glace ou crème glacée, mini cône;-;-;4,11;38,5;20,2;25,6;-;0
Glace ou crème glacée, pot individuel;-;-;3,15;26,7;12,7;22,1;3,28;0
Glace ou crème glacée, bac ou pot (aliment moyen);;;2,81;24,9;6,21;21,5;1,25;0
Glace ou crème glacée, petit pot enfant;-;-;1,83;25,2;5,94;22;-;0
Sorbet, bâtonnet;-;-;0,28;25,7;0,32;23,1;0,4;0
Sorbet, en bac;-;-;0,46;29,6;0,78;25;-;0
Sorbet, pot individuel;-;-;traces;27;2,5;24;-;0
Glace à l'eau;-;-;0,066;20,8;0,2;20,1;2,1;0
Sorbet, cône;-;-;2,04;39,3;6,74;27,6;-;0
Profiterole avec glace vanille et sauce chocolat;1200;286;5,38;31,4;14,9;19;0,95;0,15
Pêche melba;500;119;2,02;18,8;3,62;18,2;-;0
Dessert glacé type mystère ou vacherin;1160;275;3,12;40,5;10,7;33,7;3,2;0
Dessert glacé, type sundae;963;230;2,52;32,6;9,7;24,9;2,4;0
Dessert glacé feuilleté, à partager;1090;262;2,65;26,2;16,1;21,9;-;0
Omelette norvégienne;895;212;3,6;34,8;6,5;32,7;2,7;0
Poire belle Hélène;822;196;2,68;23,5;9,57;21;-;0
Nougat glacé;1100;263;4,83;25,3;15,2;20,5;-;0
Citron givré ou Orange givrée (sorbet);563;133;0,14;29,1;1,77;24,4;-;0
Coupe glacée type café ou chocolat liégeois;923;220;2,98;28,6;10;25,6;-;0
Bûche glacée;948;226;2,42;30;10,4;25,6;-;0
Coupe glacée parfum pêche Melba ou poire Belle-Hélène;689;163;0,89;32,2;3,36;31,4;-;0
Beurre à 82% MG, doux;3100;753;0,69;0,9;82,9;0,83;< 0,1;0
Huile de beurre ou Beurre concentré;-;-;0,27;0;99,9;0;-;0
Beurre à 80% MG, demi-sel;3030;738;0,72;0,55;81,4;0,39;< 0,05;0
Beurre à 80% MG, salé;3010;732;0,5;0,68;80,8;traces;< 0,2;0
Beurre à 82% MG, doux, tendre;3100;755;0,7;0,5;83,4;-;-;0
Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;2260;550;0,56;0,7;60,6;< 0,2;< 0,2;0
Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel;2280;555;0,9;0,5;61;0,5;-;0
Beurre ou assimilé allégé (léger ou à teneur reduite en matière grasse), doux (aliment moyen);1510;368;0,33;3,73;38,9;1,06;0,063;0
Beurre à teneur en matière grasse inconnue (allégé ou non), demi-sel (aliment moyen);2980;727;0,73;0,55;80,2;0,4;0,025;0
Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen);3050;741;0,68;0,99;81,5;0,84;0,05;0
Beurre à 39-41% MG, léger, doux;1610;391;< 0,5;3,6;41,7;1,26;< 0,1;0
Matière grasse laitière à 25% MG, légère, 'à tartiner', doux;1020;247;0,4;3,8;25,6;-;< 0,5;0
Matière grasse laitière à 20% MG, légère, 'à tartiner', doux;831;201;< 0,5;6,2;19,1;1,56;< 0,1;0
Huile ou beurre de cacao;3700;900;0;0;100;0;-;0
Huile ou graisse de coco (coprah), sans précision;3700;900;0;0;100;0;-;0
Huile ou graisse de coco (coprah), raffinée;3700;900;0;0;100;0;0;0
Matière grasse ou graisse végétale solide (type margarine) pour friture;3700;899;< 0,5;0;99,8;traces;< 0,2;0
Huile ou beurre de karité;3700;900;0;0;100;0;-;0
Huile pour friture, sans précision;3700;900;0;0;100;0;-;0
Huile de palme, sans précision;3700;900;0;0;100;0;-;0
Huile de palme raffinée;3700;900;0;0;100;0;-;0
Huile ou graisse de palmiste, sans précision;3700;900;0;0;100;0;-;0
Huile végétale (aliment moyen);3700;900;0,21;0;99,9;0;0;0
Huile d'amandes d'abricot;3700;900;0;0;100;0;-;0
Huile d'amande;3700;900;0;0;100;0;-;0
Huile d'arachide;3700;900;< 0,5;0;99,9;0;0;0
Huile d'avocat;3700;900;0;0;100;0;-;0
Huile de germe de blé;3700;900;0;0;100;0;-;0
Huile de carthame;3700;900;0;0;100;0;-;0
Huile de colza;3700;900;0;0;100;0;0;0
Huile de coton;3700;900;0;0;100;0;-;0
Huile de lin;3700;900;0;0;100;0;-;0
Huile de maïs;3700;900;0;0;100;0;-;0
Huile de noisette;3700;900;0;0;100;0;0;0
Huile de noix;3700;900;0;0;100;0;0;0
Huile d'olive vierge extra;3700;900;< 0,5;0;99,9;0;0;0
Huile de pavot;3700;900;0;0;100;0;-;0
Huile de pépins de raisin;3700;900;0;0;100;0;0;0
Huile de son de riz;3700;900;0;0;100;0;-;0
Huile de sésame;3700;900;0;0;100;0;-;0
Huile de soja;3700;900;0;0;100;0;0;0
Huile de tournesol;3700;901;< 0,5;0;100;0;0;0
Huile combinée (mélange d'huiles);3680;896;0;0;99,5;0;0;0
Huile combinée, mélange d'huile d'olive et de graines;3700;900;0;0;100;0;0;0
Huile d'argan ou d'argane;3650;889;0;0;98,7;0;-;0
Matière grasse végétale (type margarine) à 80% MG, salée;2970;722;< 0,5;< 0,5;80;< 0,5;-;0
Matière grasse végétale ou margarine, 80% MG, doux;2980;726;0,39;0,3;80,4;0,3;-;0
Matière grasse végétale (type margarine) à 70% MG, doux;2600;631;0,13;0,24;70;0,24;-;traces
Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux;2250;548;< 0,5;< 0,55;60,6;< 0,2;< 0,2;0
Matière grasse végétale (type margarine), teneur en matière grasse inconue, doux (aliment moyen);2500;608;0,16;0,24;67,4;0,24;;0
Matière grasse végétale (type margarine), teneur réduite en matière grasse inconnue, doux (aliment moyen);2190;532;0,28;0,24;58,9;0,22;0,05;0
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux;1510;366;1,44;3;38,6;1,91;< 0,1;0
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel;1470;358;0,9;3,05;38;1,5;-;0
Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3;1440;349;0;0;38,8;0;-;0
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3;2140;521;0,15;0,18;57,8;0,18;-;0
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel;2150;523;0,2;< 0,2;58;< 0,2;< 0,5;0
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal;2250;548;< 0,5;0;60,8;traces;< 0,2;0
Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3;2020;491;0,083;0,12;54,5;0,12;-;0
Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux;2200;536;< 0,5;0,18;59,3;0,18;< 0,1;traces
Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal;1340;325;0,1;2,5;35;0,1;-;0
Matière grasse mélangée (végétale et laitière) à 50-63% MG;2010;490;0,4;0,6;54;0,6;< 0,2;0
Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel;1980;481;0,4;0,6;53;0,6;-;0
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG;1640;397;1,69;5,6;40,9;2,3;< 0,2;0
Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel;1530;370;1,5;5,6;38;2,5;-;0
Huile de foie de morue;3700;900;0;0;100;0;0;0
Huile de sardine;3700;900;0;0;100;0;-;0
Huile de saumon;3700;900;0;0;100;0;-;0
Huile de hareng;3700;900;0;0;100;0;-;0
Saindoux;3680;896;0;0;99,5;0;0;0
Lard gras, cru;3330;810;2,92;0;88,7;0;-;0
Graisse de poulet;3690;898;0;0;99,8;0;-;0
Graisse de canard;3690;898;0;0;99,8;0;-;0
Graisse d'oie;3690;898;0;0;99,8;0;-;0
Graisse de dinde;3690;898;0;0;99,8;0;-;0
Huile de paraffine;0;0;0;0;0;0;-;0
Sauce (aliment moyen);;;1,3;6,04;25,7;4,57;1,46;0,0014
Ketchup, préemballé;420;99;1,27;21,4;0,19;20,8;4,9;0
Sauce tartare, préemballée;-;-;0,99;4,6;55;3,11;1,37;0
Mayonnaise (70% MG min.), préemballée;-;-;1,36;2,62;75,2;1,03;< 0,2;0
Ketchup allégé en sucres, préemballé;-;-;1,21;14,6;0,11;9,83;-;0
Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée, préemballée;-;-;0,93;8,98;29,9;4,91;1,2;0
Sauce barbecue, préemballée;578;136;0,56;30,3;0,6;27,5;5,6;0
Sauce soja, préemballée;193;45,5;7,08;3,64;0,1;1,32;0,75;0
Sauce vinaigrette à l'huile d'olive (50 à 75% d'huile), préemballée;-;-;0,53;4,54;52,8;3,66;-;0
Sauce vinaigrette allégée en MG (25 à 50% d'huile), préemballée;-;-;< 0,5;2,39;26,4;1,73;1,05;0
Sauce vinaigrette (50 à 75% d'huile), préemballée;-;-;0,54;4,56;52,4;2,9;< 0,2;0
Harissa (sauce condimentaire), préemballée;-;-;2,72;7,3;2,9;-;6,5;0
Sauce bourguignonne, préemballée;-;-;1,25;7,85;43,9;5,23;2,3;0
Sauce moutarde, préemballée;-;-;1,66;3,3;22,8;0,92;-;0
Sauce au yaourt;-;-;3,64;5,04;6,91;4,37;-;0
Sauce américaine, préemballée;-;-;1,42;9,48;41,8;5,1;2,05;0
Sauce aïoli, préemballée;-;-;1,13;4,7;41;3,14;0,95;0
Sauce crudités ou Sauce salade, préemballée;-;-;0,86;5,3;30,9;4,06;1,7;0
Sauce Nuoc Mâm ou Sauce au poisson, préemballée;345;81,2;9,3;10,9;0;8,34;-;0
Sauce burger, préemballée;-;-;1,06;13,3;33,8;10,3;1,07;0
Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée;-;-;0,76;7,26;14,3;5,1;< 0,5;0
Sauce kebab, préemballée;-;-;1,1;9,15;27,6;4,6;2,26;0
Sauce rouille, préemballée;-;-;1,1;1;41,4;-;-;0
Sauce au poivre, condimentaire, froide, préemballée;-;-;0,69;5,8;49,3;5,19;0,92;0
Sauce froide (aliment moyen);;;0,86;5,73;31,6;4,81;1,47;0
Caviar de tomates;899;218;2,19;6,8;19,2;6,5;2,3;0
Sauce soja sucrée, préemballée;-;-;2,88;-;< 0,5;39,5;8,5;0
Sauce pour nems à base de nuoc-mam dilué, préemballée;573;135;1,38;31,2;< 0,5;30,9;4,6;0
Sauce végétale type bolognaise, préemballée;284;68;3,56;5,05;3;5,05;2,27;0
Sauce teriyaki, préemballée;-;-;3,82;16;1,06;13,2;-;0
Tzatziki, à base yaourt, préemballé;-;-;6,06;3,8;10,9;2,7;0,5;0
Tzatziki, à base fromage frais, préemballé;-;-;6,73;3,28;11,1;2,35;< 0,3;0
Guacamole, préemballé;-;-;2,18;5,85;16,5;2,65;0,6;0
Houmous, préemballé;-;-;8,2;7,1;23,9;1,38;< 0,3;0
Caviar d'aubergine, préemballé;-;-;0,71;4,3;21;1,85;0,85;0
Sauce béchamel, préemballée;-;-;2,56;6,2;7,4;3,1;< 0,1;0
Sauce béarnaise, préemballée;-;-;0,88;4,52;47,7;2,3;0,58;0
Sauce hollandaise, préemballée;-;-;1,19;4,58;19,8;0,7;< 0,2;0
Sauce tomate aux oignons, préemballée;-;-;1,52;7,69;4,18;5,44;2,13;0
Sauce armoricaine, préemballée;-;-;2,1;3,95;6,6;0,73;-;0
Sauce tomate à la viande ou Sauce bolognaise, préemballée;-;-;4,22;7,27;4,81;4,74;1,79;0
Sauce au poivre vert, préemballée;-;-;1,3;5,3;6,1;1,3;-;0
Sauce madère, préemballée;-;-;0,6;3,6;2,2;1,9;-;0
Sauce à l'échalote à la crème, préemballée;-;-;1,7;11,9;5,53;2,27;-;0
Sauce carbonara, préemballée;-;-;5,17;4,7;12,8;1;-;0
Sauce chasseur, préemballée;-;-;1,21;4,66;1,61;-;-;traces
Sauce au curry, préemballée;324;77,4;1,02;10,6;3,16;5,83;2,92;0
Sauce au beurre blanc, préemballée;-;-;1,13;3,4;21,4;1,35;0,25;0
Sauce béchamel, maison;-;-;3,84;8,97;10,6;4,38;-;0
Sauce au beurre, préemballée;-;-;2,2;5,2;17,9;1;-;0
Sauce à la crème;-;-;1,08;5,9;5,55;0,73;-;0
Sauce aux champignons, préemballée;-;-;3,2;6,3;6,26;2,2;1,32;0
Sauce à la crème aux épices;-;-;1,16;6,2;5,75;0,95;-;0
Sauce à la crème aux herbes;-;-;1,09;5,5;5,49;0,74;-;0
Sauce aigre douce, préemballée;-;-;0,55;20,1;0,2;15,9;4,92;0
Sauce au vin rouge;-;-;0,81;7;2,22;2,47;-;1,76
Sauce basquaise ou Sauce aux poivrons, préemballée;264;63,1;1,17;7,41;2,71;4,46;2,11;0
Sauce tomate aux champignons, préemballée;-;-;1,79;7,78;2,68;4,58;1,76;0
Sauce tomate aux olives, préemballée;-;-;1,41;7,5;7,32;3,68;1,47;0
Sauce pesto, préemballée;1530;370;3,94;6,6;35,4;3,2;0,9;0
Sauce au poivre, chaude, préemballée;-;-;1;4,8;14,8;1,76;0,28;0
Sauce au fromage pour risotto ou pâtes, préemballée;-;-;3,11;4,24;9,53;0,68;< 0,1;0
Sauce au roquefort, préemballée;-;-;2,85;4,4;10,9;1,1;< 0,3;0
Sauce aux champignons et à la crème, préemballée;-;-;1,38;6,2;5;1,52;0,14;0
Sauce grand veneur, préemballée;-;-;1,5;8,45;7;6,6;-;0
Sauce indienne type tandoori ou tikka masala, préemballée;-;-;2,6;14,3;1,7;12,3;-;0
Sauce tomate aux petits légumes, préemballée;-;-;1,54;7,57;2,9;5,22;1,78;0
Sauce tomate au fromage, préemballée;-;-;3,94;8,09;14,2;4,6;-;0
Sauce pesto rosso, préemballée;-;-;4,8;8,58;27;2,75;1,3;0
Sauce chaude (aliment moyen);;;2,66;7,03;7,45;3,83;1,45;0,0058
Sauce à l'oseille, préemballée;-;-;1,3;1,7;15;1,7;-;0
Céleri rémoulade, préemballé;468;113;0,94;3,14;10,2;1,8;0,4;0
Meloukhia, sauce, artisanale;-;-;1,13;0,2;21;-;1,2;0
Sauce au chocolat, préemballée;1160;277;3,8;26,2;16,8;24,1;-;0
Crème anglaise, préemballée;443;105;3,44;16,7;2,5;12,9;< 0,3;0
Cornichon, au vinaigre;81,9;19,4;1,06;0,78;< 0,6;0,6;< 0,2;0
Moutarde;632;152;6,92;4,33;11,2;1,66;0,86;0
Vinaigre;97,4;22,6;0,04;0,62;0,1;0,04;< 0,1;0,2
Moutarde à l'ancienne;591;142;6,6;2,2;9,9;2,2;1,36;0
Câpres, au vinaigre;-;-;2,18;3,5;0,86;0,41;-;0
Tapenade;-;-;1,3;2,6;23;0,2;< 0,3;0
Oignon au vinaigre;-;-;0,56;2,5;0,2;1,98;0,28;0
Vinaigre de cidre;-;-;0;0,93;0;0,4;0,1;0
Vinaigre balsamique;531;125;0,69;25,8;< 0,6;19,1;9,59;0
Cornichon, aigre-doux;152;36;1,25;5;0,35;4;-;0
Vinaigre de vin rouge;93,3;21,6;< 0,5;traces;0;traces;< 0,5;0,11
Olive noire, en saumure, égouttée;-;-;1,38;< 0,1;17,2;0;-;0
Olive verte, en saumure, égouttée;637;155;1,31;traces;15,7;traces;< 0,1;0
Olive noire, à l'huile (à la grecque);1360;332;2,19;< 0,1;33,3;-;0,3;0
Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);-;-;2,09;0,61;15,2;< 0,4;< 0,2;0
Olive (aliment moyen);667;162;1,39;0,043;16,5;0,011;0,063;0
Olive noire (aliment moyen);;;1,49;0,05;19,5;0;;0
Bouillon de boeuf, déshydraté;1000;240;10,2;19,7;13,3;3,95;0,27;0
Fond de veau pour sauces et cuisson, déshydraté;1450;343;8,5;59,5;7,4;22,3;0,7;0
Fond de volaille pour sauces et cuisson, déshydraté;1440;341;7,4;66,3;4,9;13,6;1,4;0
Court-bouillon pour poissons, déshydraté;1080;260;5;7;23;4,5;-;0
Bouillon de volaille, déshydraté;974;233;11,3;20,8;11,5;5,38;-;0
Gelée au madère, déshydratée;1050;248;44,5;17;0,2;1,25;-;0
Gelée au madère;48;11,3;2;0,8;0,01;0,1;-;0
Fond de veau, préemballé;171;40,9;3,15;2,4;2,05;0,7;-;0
Pizza, sauce garniture pour;161;38,5;2,12;3,2;0,73;3,2;1,46;0
Bouillon de viande et légumes type pot-au-feu, déshydraté;893;213;10,3;17,7;11,1;2,87;0,46;0
Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté;893;212;11,6;28,9;5,4;2,8;< 0,2;0
Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté;832;197;10,8;30,9;3,1;2,2;0,2;0
Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme);0;0;0;0;0;0;-;0
Sel au céleri;204;49;1,81;4,14;2,53;0;-;0
Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme);0;0;0;0;0;0;-;0
Fleur de sel, non iodée, non fluorée;0;0;0;0;0;0;-;0
Sel marin gris, non iodé, non fluoré;0;0;0;0;0;0;-;0
Sel blanc alimentaire, iodé, fluoré à 25 mg /100 g (marin, ignigène ou gemme);0;0;0;0;0;0;-;0
Curry, poudre;1230;301;14,5;2,63;14;2,63;1,09;0
Gingembre, poudre;1410;335;8,98;58,3;4,24;3,39;1,22;0
Poivre noir, poudre;1380;330;13,3;39,5;7,5;0,64;0,24;0
Poivre blanc, poudre;1300;310;11,4;48,3;2,11;-;-;0
Cannelle, poudre;1000;243;3,87;27,5;1,22;2,17;1,04;0
Coriandre, graine;1430;346;12,4;13;17,8;-;-;0
Safran;1490;352;11,4;61,5;5,85;42,4;-;0
Cumin, graine;1780;427;17,8;33,7;22,3;2,25;-;0
Noix de muscade;2100;507;6,26;28,5;36,3;2,99;-;0
Paprika;1320;319;14,1;19,1;12,9;10,3;2,63;0
Clou de girofle;1390;335;5,97;31,6;13;2,38;1,14;0
Laurier, feuille;1480;353;7,61;48,6;8,36;48,6;-;0
Quatre épices;1460;348;6,09;50,5;8,69;-;-;0
Vanille, gousse;-;-;-;-;-;-;-;0
Pavot, graine;2280;551;19,7;13,7;43,1;2,99;0,37;0
Carvi, graine;1380;334;19,8;11,9;14,6;0,64;-;0
Vanille, extrait alcoolique;996;240;0,05;2,41;0;-;-;32,9
Fenouil, graine;1350;326;15,7;12,5;14,9;12,5;-;0
Gingembre, racine crue;137;32,9;1,1;3,4;1,1;1;0,36;0
Cardamome, poudre;1340;321;10,8;40,5;6,7;-;-;0
Fenugrec, graine;1470;350;27,1;33,8;6,41;8,7;-;0
Epice (aliment moyen);1440;346;12,4;37,7;10,4;2,14;0,35;0
Poivre de Cayenne ou piment de Cayenne;1560;376;12;29,4;17,3;10,3;-;0
Curcuma, poudre;1220;291;9,68;44,4;3,25;3,21;0,38;0
Vanille, extrait aqueux;245;57,7;0,03;14,4;0;14,4;-;0
Ail, cru;470;111;5,31;18,6;< 0,5;1,2;0,2;0
Cerfeuil, frais;167;39,9;3,72;3,63;0,6;0,6;-;0
Ciboule ou Ciboulette, fraîche;124;29,7;2,57;2,1;0,52;1,75;-;0
Persil, frais;180;43;3,71;3,48;0,63;0,95;0,5;0
Raifort, cru;-;-;7,5;13;0,7;-;-;0
Menthe, fraîche;240;57,6;3,52;5,3;0,84;5,3;-;0
Basilic, frais;145;34,8;3,35;2,55;0,47;0,37;0,02;0
Romarin, frais;498;121;3,31;6,6;5,86;-;-;0
Sauge, fraîche;152;36,7;4;0,97;< 0,5;0,3;0,3;0
Thym, frais;446;107;5,56;10,5;1,68;-;-;0
Herbes aromatiques fraîches (aliment moyen);206;49,4;3,58;4,15;0,8;1,99;;0
Estragon, frais;184;44;3,8;4,1;traces;1,2;-;0
Aneth, frais;202;48,2;3,93;3,9;1,1;1,2;-;0
Coriandre, fraiche;92,6;22,3;2,13;0,87;0,52;0,87;-;0
Ail, rôti/cuit au four;538;127;5,56;23,8;< 0,5;1,4;< 0,2;0
Ail, sauté/poêlé, sans matière grasse;548;130;6;22;0,4;1;< 0,2;0
Ail séché, poudre;1460;344;16,7;62,8;0,77;2,43;0,07;0
Persil, séché;1210;291;29;16,8;5,34;7,27;2,76;0
Menthe, séchée;1180;283;19,9;22,2;6,03;-;-;0
Basilic, séché;1010;244;23;10,1;4,07;1,71;0,75;0
Marjolaine, séchée;1140;276;12,7;20,3;7,04;4,09;-;0
Origan, séché;1100;265;9;26,4;4,28;4,09;1,9;0
Romarin, séché;1350;328;4,88;21,5;15,2;-;-;0
Sauge, séchée;1320;320;10,6;20,4;12,8;1,71;-;0
Thym, séché;1180;285;9,11;26,9;7,43;1,71;-;0
Herbes de Provence, séchées;1170;283;11,5;23;7,2;18,5;-;0
Sarriette, séchée;1090;264;6,73;23;5,91;-;-;0
Meloukhia, feuilles de corète séchées, en poudre;994;239;23;12,7;1,8;-;3,7;0
Agar (algue), cru;-;-;0,54;6,25;0,03;0,28;-;0
Agar (algue), séché;-;-;4,36;-;0,3;2,97;-;0
Spiruline (Spirulina sp.), séchée ou déshydratée;-;-;57,5;20,3;7,72;3,1;-;0
Wakamé (Undaria pinnatifida), séchée ou déshydratée;760;184;14,1;5,7;2,51;-;-;0
Laitue de mer (Ulva sp.), séchée ou déshydratée;856;206;15,9;13,8;2,03;-;-;0
Kombu royal (Saccharina latissima), séchée ou déshydratée;849;204;10,3;23,6;1,07;-;-;0
Nori (Porphyra sp.), séchée ou déshydratée;1060;255;31,5;10,5;1,63;-;-;0
Dulse (Palmaria palmata), séchée ou déshydratée;949;227;17,2;22,6;1,33;-;-;0
Kombu ou kombu japonais (Laminaria japonica), séchée ou déshydratée;931;224;8,38;24,2;2,65;-;-;0
Kombu breton (Laminaria digitata), séchée ou déshydratée;905;217;9,51;25,6;1,13;-;-;0
Haricot de mer (Himanthalia elongata), séchée ou déshydratée;998;239;10,1;28,3;2,63;-;-;0
Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée;1010;243;16,5;18,8;3,54;-;-;0
Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté;799;194;7,41;15,7;1,33;-;-;0
Ao-nori (Enteromorpha sp.), séchée ou déshydratée;932;224;13,7;18,8;2,47;-;-;0
